medal,beer_name,brewery,city,state,category,year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Bronze,Chux,Danville Brewing Co.,Danville,CA,Imperial India Pale Ale,2017,37.832075,-121.916718,1,place,,,,,Danville,CA,Contra Costa County,94506,US,TIGER/Line® dataset from the US Census Bureau
Gold,Cinder Beast,Sunriver Brewing,Sunriver,OR,Imperial Red Ale,2017,43.884007,-121.43864,0.8,place,,,,,Sunriver,OR,Deschutes County,97707,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hop Zombie,Lone Tree Brewing Co.,Lone Tree,CO,Imperial Red Ale,2017,37.16806,-107.17282,0.8,place,,,,,Lonetree,CO,Archuleta County,81147,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Jagged Shard,Boise Brewing,Boise,ID,Imperial Red Ale,2017,43.603768,-116.272921,1,place,,,,,Boise,ID,Ada County,83701,US,TIGER/Line® dataset from the US Census Bureau
Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2017,39.864907,-75.432958,1,place,,,,,Aston,PA,Delaware County,19014,US,TIGER/Line® dataset from the US Census Bureau
Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Media,Media,PA,Imperial Stout,2017,39.918804,-75.399118,1,place,,,,,Media,PA,Delaware County,19063,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Duke Snider's Imperial Stout,Walking Tree Brewery,Vero Beach,FL,Imperial Stout,2017,27.638005,-80.40294,1,place,,,,,Vero Beach,FL,Indian River County,32960,US,TIGER/Line® dataset from the US Census Bureau
Silver,Bomber Mountain,Black Tooth Brewing Co.,Sheridan,WY,Irish-Style Red Ale,2017,44.780378,-106.837563,1,place,,,,,Sheridan,WY,Sheridan County,82801,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Riley's Irish Red,Packinghouse Brewing Co.,Riverside,CA,Irish-Style Red Ale,2017,33.99504,-117.373184,1,place,,,,,Riverside,CA,Riverside County,92501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Zwickelbier,Red Rock Brewing Co. - Production,Salt Lake City,UT,Kellerbier or Zwickelbier,2017,40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pilsner,Marble Brewery - Production,Albuquerque,NM,Kellerbier or Zwickelbier,2017,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Mermaid's Scorn,Benchtop Brewing Co.,Norfolk,VA,Leipzig-Style Gose or Contemporary Gose,2017,36.895911,-76.208521,1,place,,,,,Norfolk,VA,Norfolk city,23501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Passionfruit Gose,Perrin Brewing Co.,Comstock Park,MI,Leipzig-Style Gose or Contemporary Gose,2017,43.081164,-85.679652,1,place,,,,,Comstock Park,MI,Kent County,49321,US,TIGER/Line® dataset from the US Census Bureau
Gold,Super Awesome Lager,Austin Beerworks,Austin,TX,Light Lager,2017,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Sun Grown,Sycamore Brewing,Charlotte,NC,Light Lager,2017,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Silver,10 Buck Chuck,Firestone Walker Barrelworks,Buellton,CA,Mixed-Culture Brett Beer,2017,34.635927,-120.201469,1,place,,,,,Buellton,CA,Santa Barbara County,93427,US,TIGER/Line® dataset from the US Census Bureau
Bronze,CBC & Jester King's Cor Cordium,Cambridge Brewing Co.,Cambridge,MA,Mixed-Culture Brett Beer,2017,42.380442,-71.132947,1,place,,,,,Cambridge,MA,Middlesex County,2138,US,TIGER/Line® dataset from the US Census Bureau
Gold,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,Munich-Style Dunkel or European-Style Dark Lager,2017,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Moondoor Dunkel,Wibby Brewing,Longmont,CO,Munich-Style Dunkel or European-Style Dark Lager,2017,40.164837,-105.103179,1,place,,,,,Longmont,CO,Boulder County,80501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Penn Gold,Pennsylvania Brewing Co.,Pittsburgh,PA,Munich-Style Helles,2017,40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,Allegheny County,15201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Solar,Sanctum Brewing Co.,Pomona,CA,Munich-Style Helles,2017,34.042286,-117.756106,1,place,,,,,Pomona,CA,Los Angeles County,91766,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Munich Light,Emmett's Brewing Co. - Wheaton,Wheaton,IL,Munich-Style Helles,2017,41.87272,-88.112442,1,place,,,,,Wheaton,IL,DuPage County,60187,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wall of Sound,Stereo Brewing Co.,Placentia,CA,Oatmeal Stout,2017,33.881158,-117.854783,1,place,,,,,Placentia,CA,Orange County,92870,US,TIGER/Line® dataset from the US Census Bureau
Silver,The Ferguson,Studio Brew,Bristol,VA,Oatmeal Stout,2017,36.613815,-82.176238,1,place,,,,,Bristol,VA,Bristol city,24201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Fat Pug,Maplewood Brewing Co.,Chicago,IL,Oatmeal Stout,2017,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pilgrim's Dole,New Holland Brewing Co.,Holland,MI,Old Ale or Strong Ale,2017,42.985596,-86.444751,1,place,,,,,Holland,MI,Ottawa County,49422,US,TIGER/Line® dataset from the US Census Bureau
Gold,Three Tun,Brew Hub,Lakeland,FL,Ordinary or Special Bitter,2017,28.035908,-81.899669,1,place,,,,,Lakeland,FL,Polk County,33801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Mooey,Bonn Place Brewing,Bethlehem,PA,Ordinary or Special Bitter,2017,40.58883,-75.351958,1,place,,,,,Bethlehem,PA,Northampton County,18015,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Saint Arnold Amber Ale,Saint Arnold Brewing Co.,Houston,TX,Ordinary or Special Bitter,2017,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Witty Moron,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA,Other Belgian-Style Ale,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Lux Mundi,Save the World Brewing Co.,Marble Falls,TX,Other Belgian-Style Ale,2017,30.581216,-98.208732,1,place,,,,,Marble Falls,TX,Burnet County,78654,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Cousin Stoopid,Stickman Brews,Royersford,PA,Other Belgian-Style Ale,2017,40.18427,-75.53796,1,place,,,,,Royersford,PA,Montgomery County,19468,US,TIGER/Line® dataset from the US Census Bureau
Gold,Imperial Cream Ale,Nexus Brewery,Albuquerque,NM,Other Strong Beer,2017,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Antwerp's Placebo,Batch Brewing Co.,Detroit,MI,Other Strong Beer,2017,42.347021,-83.060184,1,place,,,,,Detroit,MI,Wayne County,48201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Just Another Pretty Face,Denver Beer Co.,Denver,CO,Pro-Am,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Silver,Lichtenhainer,Black Bottle Brewery,Fort Collins,CO,Pro-Am,2017,40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Gold,Just Another Pretty Face,Denver Beer Co.,Denver,CO,Proam,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Silver,Lichtenhainer,Black Bottle Brewery,Fort Collins,CO,Proam,2017,40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Eluxansis,Odell Brewing Co.,Fort Collins,CO,Proam,2017,40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Gold,Saint Arnold Pumpkinator,Saint Arnold Brewing Co.,Houston,TX,Pumpkin/Squash Beer or Pumpkin Spice Beer,2017,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Pumpkin Ale,Schlafly Beer/The Saint Louis Brewery,Saint Louis,MO,Pumpkin/Squash Beer or Pumpkin Spice Beer,2017,38.631501,-90.19231,1,place,,,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin/Squash Beer or Pumpkin Spice Beer,2017,46.272241,-113.435709,1,place,,,,,Philipsburg,MT,Granite County,59858,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tabula Rasa Toasted Porter,Second Chance Beer Co.,San Diego,CA,Robust Porter,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,JFP,Rivertowne Pour House,Monroeville,PA,Robust Porter,2017,40.42118,-79.7881,1,place,,,,,Monroeville,PA,Allegheny County,15146,US,TIGER/Line® dataset from the US Census Bureau
Gold,Unite the Clans,Third Space Brewing,Milwaukee,WI,Rye Beer,2017,43.011264,-87.958409,1,place,,,,,Milwaukee,WI,Milwaukee County,53201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Nighthawk Rye Pale Ale,Packinghouse Brewing Co.,Riverside,CA,Rye Beer,2017,33.99504,-117.373184,1,place,,,,,Riverside,CA,Riverside County,92501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Breakside Rye Curious?,Breakside Brewery,Portland,OR,Rye Beer,2017,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2017,30.137027,-98.419985,1,place,,,,,Blanco,TX,Blanco County,78606,US,TIGER/Line® dataset from the US Census Bureau
Silver,Duck-Rabbit Wee Heavy Scotch Style Ale,Duck-Rabbit Craft Brewery,Farmville,NC,Scotch Ale,2017,35.59544,-77.58525,1,place,,,,,Farmville,NC,Pitt County,27828,US,TIGER/Line® dataset from the US Census Bureau
Bronze,AleSmith Wee Heavy,AleSmith Brewing Co.,San Diego,CA,Scotch Ale,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Taildragger's Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2017,33.373698,-112.410262,1,place,,,,,Goodyear,AZ,Maricopa County,85338,US,TIGER/Line® dataset from the US Census Bureau
Silver,McGarveys Scottish Ale,Oggi's Sports Brewhouse Pizza,San Clemente,CA,Scottish-Style Ale,2017,33.42362,-117.606843,1,place,,,,,San Clemente,CA,Orange County,92672,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Heavy 80 Scotch Ale,Coal Creek TAP,Laramie,WY,Scottish-Style Ale,2017,41.43902,-105.801022,1,place,,,,,Laramie,WY,Albany County,82070,US,TIGER/Line® dataset from the US Census Bureau
Gold,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Peacekeeper,Launch Pad Brewery,Aurora,CO,Session Beer,2017,39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Stonefly Session Ale,Three Creeks Brewing Co.,Sisters,OR,Session Beer,2017,44.31648,-121.509124,1,place,,,,,Sisters,OR,Deschutes County,97759,US,TIGER/Line® dataset from the US Census Bureau
Gold,Rome City IPA,Brew Hub,Lakeland,FL,Session India Pale Ale,2017,28.035908,-81.899669,1,place,,,,,Lakeland,FL,Polk County,33801,US,TIGER/Line® dataset from the US Census Bureau
Gold,So long and thank's for all the (smoked) fish!,The Sandlot Brewery at Coors Field,Denver,CO,Smoke Beer,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Silver,Smoke on the Lager,Chilly Water Brewing Co.,Indianapolis,IN,Smoke Beer,2017,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Croydon is Burning,Neshaminy Creek Brewing Co.,Croydon,PA,Smoke Beer,2017,40.090878,-74.887554,1,place,,,,,Croydon,PA,Bucks County,19021,US,TIGER/Line® dataset from the US Census Bureau
Gold,Hefeweizen,Gordon Biersch Brewery Restaurant - Navy Yard,Broomfield,CO,South German-Style Hefeweizen,2017,39.930782,-105.074287,0.9,place,,,,,Broomfield,CO,Adams County,80020,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hornet's Nest,The Olde Mecklenburg Brewery,Charlotte,NC,South German-Style Hefeweizen,2017,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Barrel Aged Sweet Potato SoufflC3=A9 Rye<=/,Odd Side Ales,Grand Haven,MI,Specialty Beer,2017,43.008786,-86.129031,1,place,,,,,Grand Haven,MI,Ottawa County,49417,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Agavamente,SouthNorte Beer Co.,San Diego,CA,Specialty Beer,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Rye Saison,Base Camp Brewing Co.,Portland,OR,Specialty Saison,2017,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Make Hay,Cellar West Artisan Ales,Boulder,CO,Specialty Saison,2017,40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Farmhouse Saison,CO-Brew,Denver,CO,Specialty Saison,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Oatmeal Milk Stout,Finkel & Garf Brewing Co.,Boulder,CO,Sweet Stout or Cream Stout,2017,40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Silver,Milk Bone,Pinellas Ale Works,Saint Petersburg,FL,Sweet Stout or Cream Stout,2017,27.775654,-82.64092,1,place,,,,,Saint Petersburg,FL,Pinellas County,33701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,McPoyle,Mile Wide Beer Co.,Louisville,KY,Sweet Stout or Cream Stout,2017,38.188962,-85.676819,1,place,,,,,Louisville,KY,Jefferson County,40201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Gustav,Taft's Ale House,Cincinnati,OH,Vienna-Style Lager,2017,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Vienna Lager,Lost Forty Brewing,Little Rock,AR,Vienna-Style Lager,2017,34.746905,-92.280049,1,place,,,,,Little Rock,AR,Pulaski County,72201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Dock Time,Stony Creek Brewery,Branford,CT,Vienna-Style Lager,2017,41.284746,-72.796292,1,place,,,,,Branford,CT,New Haven County,6405,US,TIGER/Line® dataset from the US Census Bureau
Gold,Porter Aged on Palo Santo Wood,Spellbound Brewing,Mount Holly,NJ,Wood- and Barrel-Aged Beer,2017,40.00233,-74.7885,1,place,,,,,Mount Holly,NJ,Burlington County,8060,US,TIGER/Line® dataset from the US Census Bureau
Silver,Magpie Muckle,Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Beer,2017,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Woody Pils,Bull & Bush Brewery,Denver,CO,Wood- and Barrel-Aged Beer,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Plum Creek Sour,Rockyard American Grill & Brewing Co.,Castle Rock,CO,Wood- and Barrel-Aged Sour Beer,2017,39.374779,-104.849988,1,place,,,,,Castle Rock,CO,Douglas County,80104,US,TIGER/Line® dataset from the US Census Bureau
Silver,Train to Beersel,Bruery Terreux,Anaheim,CA,Wood- and Barrel-Aged Sour Beer,2017,33.844983,-117.952151,1,place,,,,,Anaheim,CA,Orange County,92801,US,TIGER/Line® dataset from the US Census Bureau
Bronze,5th Anniversary Tequila Sour,Loveland Aleworks,Loveland,CO,Wood- and Barrel-Aged Sour Beer,2017,40.364469,-105.179966,1,place,,,,,Loveland,CO,Larimer County,80537,US,TIGER/Line® dataset from the US Census Bureau
Gold,Hurly Burly Port Barrel Aged Barleywine,Out of Bounds Brewing Co.,Rocklin,CA,Wood- and Barrel-Aged Strong Beer,2017,38.801233,-121.230374,1,place,,,,,Rocklin,CA,Placer County,95677,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Barrel Aged Barleywine,Charleville Vineyard & Microbrewery,Sainte Genevieve,MO,Wood- and Barrel-Aged Strong Beer,2017,37.981442,-90.041779,0.9,place,,,,,Sainte Genevieve,MO,Ste. Genevieve County,63670,US,TIGER/Line® dataset from the US Census Bureau
Gold,Medianoche,WeldWerks Brewing Co.,Greeley,CO,Wood- and Barrel-Aged Strong Stout,2017,40.384991,-104.680631,1,place,,,,,Greeley,CO,Weld County,80631,US,TIGER/Line® dataset from the US Census Bureau
Silver,Maman 2017,Perennial Artisan Ales,Saint Louis,MO,Wood- and Barrel-Aged Strong Stout,2017,38.631501,-90.19231,1,place,,,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Barrel-Aged Marfa Light,Big Bend Brewing Co.,Alpine,TX,Wood- and Barrel-Aged Strong Stout,2017,30.357926,-103.66029,1,place,,,,,Alpine,TX,Brewster County,79830,US,TIGER/Line® dataset from the US Census Bureau
Gold,Doc's Scotch Ale,Millersburg Brewing,Millersburg,OH,Aged Beer,2016,40.544738,-81.878772,1,place,,,,,Millersburg,OH,Holmes County,44654,US,TIGER/Line® dataset from the US Census Bureau
Silver,Expedition Stout,"Bell's Brewery, Inc",Comstock,MI,Aged Beer,2016,42.245412,-85.529858,1,place,,,,,Comstock,MI,Kalamazoo County,49041,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Winter Wheatwine 2007,Rubicon Brewing Company Pub,Sacramento,CA,Aged Beer,2016,38.380456,-121.555406,1,place,,,,,Sacramento,CA,Sacramento County,94203,US,TIGER/Line® dataset from the US Census Bureau
Gold,Mischief,The Bruery,Placentia,CA,American-Belgo-Style Ale,2016,33.881158,-117.854783,1,place,,,,,Placentia,CA,Orange County,92870,US,TIGER/Line® dataset from the US Census Bureau
Silver,#4.5 Hops with Saison Added,Brown Truck Brewery,High Point,NC,American-Belgo-Style Ale,2016,35.954467,-79.987882,1,place,,,,,High Point,NC,Guilford County,27260,US,TIGER/Line® dataset from the US Census Bureau
Bronze,White Wall Wit,Crank Arm Brewing Co.,Raleigh,NC,American-Belgo-Style Ale,2016,35.773632,-78.634457,1,place,,,,,Raleigh,NC,Wake County,27601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Casa Azul,El Segundo Brewing Co.,El Segundo,CA,American-Style Amber Lager or Dark Lager,2016,33.91918,-118.41647,1,place,,,,,El Segundo,CA,Los Angeles County,90245,US,TIGER/Line® dataset from the US Census Bureau
Silver,Tragedy of the Commons,Iowa Brewing Co.,Cedar Rapids,IA,American-Style Amber Lager or Dark Lager,2016,41.976612,-91.657578,1,place,,,,,Cedar Rapids,IA,Linn County,52401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Ole Prospector Red Ale,BNS Brewing & Distilling Co.,Santee,CA,American-Style Amber/Red Ale,2016,32.843956,-116.994511,1,place,,,,,Santee,CA,San Diego County,92071,US,TIGER/Line® dataset from the US Census Bureau
Silver,Better Off Red,Vintage Brewing Co.,Madison,WI,American-Style Amber/Red Ale,2016,43.06956,-89.423861,1,place,,,,,Madison,WI,Dane County,53701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Sabre-Toothed Squirrel,Smog City Brewing Co.,Torrance,CA,American-Style Amber/Red Ale,2016,33.835665,-118.303805,1,place,,,,,Torrance,CA,Los Angeles County,90501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Once You Go,Lynnwood Brewing Concern - Production Facility,Raleigh,NC,American-Style Black Ale,2016,35.773632,-78.634457,1,place,,,,,Raleigh,NC,Wake County,27601,US,TIGER/Line® dataset from the US Census Bureau
